"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"ENSG00000010278.7",5.61470984411521,7.15987133677839,6,7.59245703726808,7.5077946401987,5.8073549220576,7.35755200461808,7.19967234483636,8.04439411935845,9.05528243550119,6.7279204545632,8.07146236255662
"ENSG00000010319.2",1.58496250072116,1.58496250072116,1.58496250072116,3.16992500144231,2.32192809488736,1.58496250072116,4.70043971814109,3,2,4.75488750216347,1.58496250072116,3.90689059560852
"ENSG00000010327.6",8.04439411935845,9.97010589061218,10.3026389237876,11.2778685461768,9.44086916761087,10.0967151544885,11.2708792953288,9.48381577726426,10.742309436084,11.237209960755,8.99435343685886,11.2632692003727
"ENSG00000010379.11",1,1,2.8073549220576,2.32192809488736,1,2,2,2,3.70043971814109,3.4594316186373,0,3.8073549220576
"ENSG00000010404.13",9.43671154213721,10.6036263449862,11.0828143376723,11.4067364826917,10.7047682393626,10.7321674256634,11.7073591320809,9.49185309632967,11.3066313617125,11.9968265280207,9.61102479730735,12.3193898760002
"ENSG00000010539.7",6.64385618977472,8.37937836707126,9.24792751344359,9.74986942739684,8.30833903013941,8.59245703726808,9.82017896241519,7.53138146051631,9.16490692667569,9.56414948998573,7.4757334309664,9.84862294042934
"ENSG00000010610.5",7.93073733756289,8.12928301694497,9.92184093707449,10.4062050054189,9.467605550083,8.22881869049588,10.0251395622785,8.33985000288462,10.3739526553702,10.0195907283579,8.70043971814109,10.2491134527137
"ENSG00000010626.10",3.4594316186373,4.90689059560852,5.4594316186373,5.90689059560852,5.20945336562895,3.70043971814109,5.4262647547021,2.58496250072116,5.32192809488736,5.61470984411521,3,5.24792751344359
"ENSG00000010818.4",8.30833903013941,9.85174904141606,11,11.4120405145517,10.7968507952672,9.69870466677034,11.1529185761366,9.39660478118186,11.2615073092021,11.1686721181322,9.63117705570398,11.6635581042173
"ENSG00000011007.8",6.4594316186373,8.18487534290828,9.05256805080415,9.19229281447077,8.2336196767597,7.99435343685886,9.4594316186373,7.53915881110803,8.97154355395077,9.48179943166575,7.67948009950545,9.67948009950545
"ENSG00000011009.6",5.93073733756289,7.60733031374961,8.4262647547021,8.74483383749955,7.85798099512757,7.67948009950545,8.68650052718322,7.31288295528436,8.74819284958946,9.08746284125034,6.90689059560852,9.24079133216196
"ENSG00000011105.7",3.70043971814109,4.39231742277876,3.70043971814109,6.22881869049588,5.88264304936184,5.4262647547021,6.06608919045777,4.58496250072116,6.04439411935845,7.3037807481771,5.64385618977472,7.21916852046216
"ENSG00000011132.7",5.8073549220576,7.49185309632967,8.37068740680722,8.51569983828404,7.94251450533924,7.45121111183233,8.72451385311995,6.76818432477693,8.33985000288462,8.64745842645492,6.68650052718322,8.88264304936184
"ENSG00000011143.12",3,4.52356195605701,6.4262647547021,6.14974711950468,5.70043971814109,5.20945336562895,6.28540221886225,3.90689059560852,6.4093909361377,6.12928301694497,4.70043971814109,6.55458885167764
"ENSG00000011198.3",7.66533591718518,9.13699111208023,9.64745842645492,10.1382718001722,9.467605550083,10.5830827675029,10.5708044377245,7.69348695749933,9.85174904141606,10.6697708885255,8.45532722030456,11.2632692003727
"ENSG00000011201.6",0,2.32192809488736,3.32192809488736,2.32192809488736,2.32192809488736,3.16992500144231,3.70043971814109,1.58496250072116,3.16992500144231,3.58496250072116,1,5.28540221886225
"ENSG00000011275.14",8.2336196767597,9.64385618977473,10.8841705191084,10.7879025593914,10.2384047393251,9.68825030913318,10.9722618487333,9.14465824283188,10.7772553151919,11.0687782779854,9.2240016741981,11.311748315005
"ENSG00000011422.7",7.11894107272351,9.55074678538324,9.38801728534514,10.1472049249422,9.11634396123747,9.32418054661874,9.9957671508778,7.52356195605701,9.39231742277876,10.3442959079158,7.91288933622996,10.667111542075
"ENSG00000011426.6",3,5.12928301694497,6.58496250072116,5.55458885167764,6.24792751344359,6.10852445677817,6.35755200461808,4,5.75488750216347,4.95419631038687,5.4262647547021,6.2667865406949
"ENSG00000011523.9",6.39231742277876,7.28540221886225,9.56033283421244,9.18239435340453,8.63662462054365,7.03342300153745,9.211888294546,8.06069593168755,9.21916852046216,9.16741814583174,8.03342300153745,9.10590850857116
"ENSG00000011600.7",8.67948009950545,10.4460494067166,11.1389117181427,11.732591435965,10.5783726913608,11.0098286173681,11.7515440590891,9.32418054661874,11.1440208692669,12.0556213747817,9.53138146051631,12.2659080092311
"ENSG00000012048.15",6.08746284125034,7.33985000288462,8.48784003382305,8.3264294871223,7.66533591718518,7.96578428466209,8.7279204545632,5.97727992349992,7.07681559705083,7.99435343685886,6.16992500144231,8.5077946401987
"ENSG00000012124.10",2.32192809488736,3.4594316186373,8.66177809777199,6.20945336562895,7.10852445677817,0,9.73640193131829,8.78135971352466,9.01959072835788,10.0389189892923,7.51569983828404,9.33539035469392
"ENSG00000012171.13",1.58496250072116,0,2.8073549220576,3.70043971814109,1.58496250072116,4.16992500144231,5,2.8073549220576,3.4594316186373,5.08746284125034,0,5.39231742277876
"ENSG00000012223.8",8.61838550225861,9.17741953798924,11.6515002206527,9.61470984411521,8.82972273508606,9.67065624911844,11.8799660796644,8.23840473932508,11.8876014245087,8.51569983828404,11.2300204357056,13.0072025107497
